Disease,Description
open wound of the finger,"An open wound on the finger is a type of injury that occurs when the skin on the finger is broken, exposing the underlying tissue. This can happen due to cutting or piercing the skin with an object, such as a knife, needle, or broken glass. The wound may be small or large, depending on"
testicular cancer,"Testicular cancer is a type of cancer that develops in the testicles, which are the male reproductive glands that produce sperm and testosterone. It is a relatively rare form of cancer, but it can be a serious medical condition that requires prompt treatment."
open wound of the shoulder,"Open wound of the shoulder is a condition where the skin on the shoulder is damaged, exposing the underlying tissue. It can be caused by trauma, such as a fall or a sports injury, or by a surgical procedure. Symptoms of an open wound of the shoulder may include pain, bleeding, swelling"
peritonsillar abscess,"Peritonsillar abscess, also known as quinsy or peritonsillar cellulitis, is a collection of pus that forms in the space between the tonsil and the inner lining of the throat. This condition is caused by a bacterial infection and can result in symptoms such"
necrotizing fasciitis,"Necrotizing fasciitis is a rare but serious bacterial infection that causes the skin and soft tissue of the body to die. It is a medical emergency and requires immediate medical attention. The infection can occur after surgery, trauma, or as a complication of a wound or injury. Early diagnosis and treatment are"
hyperopia,"Hyperopia, also known as farsightedness, is a condition in which light rays focus behind the retina rather than directly on it. This can cause blurred vision, headaches, and eye strain. Symptoms of hyperopia include difficulty seeing objects up close, eye fatigue"
molluscum contagiosum,"Molluscum contagiosum is a common skin infection caused by a poxvirus. It appears as small, raised, pink or flesh-colored bumps on the skin. The bumps are usually painless but may be itchy. The virus is spread through skin-to-skin contact"
lung contusion,"Lung contusion is a serious injury to the lung that can occur when the chest is impacted by a blunt trauma, such as in a car accident or fall. It is a bruise or bleeding in the lung that can cause difficulty breathing and lead to life-threatening complications."
vertebrobasilar insufficiency,"Vertebrobasilar insufficiency (VBI) is a condition that can occur when blood flow to the vertebrobasilar artery is restricted. This artery supplies blood to the brainstem and cerebellum. VBI can cause symptoms such as impaired vision, dizziness, and"
lichen planus,"Lichen planus is a skin condition that causes itchy, flat-topped bumps on the skin. The cause of lichen planus is unknown, but it may be triggered by certain medicines, infections, or hormonal changes. Symptoms can include itchy, flat-top"
hyperosmotic hyperketotic state,Hyperosmotic hyperketotic state is a rare condition characterized by high blood sugar levels (hyperglycemia) and high levels of ketones in the blood (hyperketonemia). Ketones are a byproduct of fat breakdown that can accumulate in the blood when the body is
scleritis,"Scleritis is an inflammation of the sclera, which is the white outer layer of the eye. It is a serious condition that can cause severe pain, vision loss, and even blindness if left untreated."
osteochondrosis,"Osteochondrosis is a condition in which the cartilage and bone in a joint become damaged. It can affect any joint in the body, but is most commonly found in the spine, knees, and hips. Symptoms of osteochondrosis can include pain, stiffness, and"
deep vein thrombosis (dvt),"Deep vein thrombosis (DVT) is a condition where a blood clot forms in a vein deep inside the body, usually in the leg. The blood clot can block the flow of blood and cause pain, swelling, and redness in the affected area."
diabetic kidney disease,"Diabetic kidney disease is a kidney disease that develops in people with diabetes. It can cause kidney failure, which can lead to the need for dialysis or a kidney transplant. Symptoms of diabetic kidney disease include protein in the urine, high blood pressure, and sw"
salivary gland disorder,"Salivary gland disorders are a group of conditions that affect the salivary glands, which produce saliva. Saliva helps to digest food and keep the mouth moist. There are several types of salivary gland disorders, including:"
complex regional pain syndrome,"Complex regional pain syndrome (CRPS), formerly known as reflex sympathetic dystrophy (RSD), is a chronic pain condition that affects one of the limbs (arms, legs, hands, or feet). It is believed to be caused by damage to, or malfunction of, the peripheral and"
lung cancer,Lung cancer is a growth of abnormal cells in the lungs that can invade nearby tissues and spread to other parts of the body. There are two main types of lung cancer: small cell lung cancer (SCLC) and non-small cell lung cancer (NSCLC). SCLC is a
rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disease, which means that your immune system is attacking healthy joint tissues. It causes symptoms of joint pain, stiffness, and swelling, and can affect any joint in your body. The most commonly affected joints are those in your hands and"
foreign body in the vagina,"The presence of a foreign body in the vagina is a condition in which an object or substance has been inserted into the vagina and is unable to be removed. This can be caused by a variety of factors, including accidental insertion, sexual activity, or abuse. Common symptoms include vaginal pain, bleeding,"
parkinson disease,"Parkinson's disease is a neurodegenerative disorder that affects the brain's dopamine-producing cells, leading to a progressive decline in motor function. Symptoms include tremors, rigidity, slow movement, and poor balance. The cause is unknown, but it may be related to environmental"
poisoning due to antihypertensives,"Poisoning due to antihypertensives is a condition characterized by harmful effects resulting from ingestion or exposure to high levels of antihypertensive drugs, such as beta-blockers, angiotensin-converting enzyme (ACE) inhibitors, calcium channel block"
drug abuse,"Drug abuse, also known as substance abuse or chemical dependency, is the excessive and harmful use of drugs, including illegal drugs such as cocaine, heroin, and methamphetamines, as well as misuse of prescription drugs such as painkillers and stimulants."
hydatidiform mole,"A hydatidiform mole is a type of gestational trophoblastic disease that occurs when an abnormal pregnancy develops. It is characterized by the presence of fluid-filled cysts in the uterus. The cause of hydatidiform moles is not fully understood, but it is"
injury to the spinal cord,"Injury to the spinal cord is a type of spinal cord injury (SCI) that occurs when there is damage to the spinal cord. This can result in a loss of motor function, sensation, and autonomic function below the level of the injury. Spinal cord injuries can occur as a result"
hydronephrosis,"Hydronephrosis is a medical condition in which the kidneys become enlarged due to a buildup of urine. This can occur when there is a blockage in the urinary tract, such as from a kidney stone, enlarged prostate, or narrowing of the ure"
open wound of the mouth,"An open wound of the mouth is a laceration or tear of the lips or inside of the mouth that exposes the underlying soft tissue. This type of injury can occur due to a variety of reasons, such as getting bitten by an animal, falling and hitting the mouth on a hard surface, or being involved"
labyrinthitis,"Labyrinthitis is an inflammation of the inner ear that can cause sudden hearing loss, ringing in the ears (tinnitus), vertigo, and nausea. It may be caused by a viral infection, bacterial infection, or an autoimmune disorder. Symptoms"
injury to internal organ,"Injury to internal organ, unspecified"
peripheral nerve disorder,"Peripheral nerve disorder is a medical condition that affects the peripheral nervous system. It can cause symptoms such as numbness, tingling, and weakness in the arms, legs, or both."
pancreatic cancer,"Pancreatic cancer is a type of cancer that begins in the pancreas, an organ located behind the stomach. The pancreas produces enzymes that help digest food and hormones that help control blood sugar levels. Pancreatic cancer is one of the deadliest types of cancer,"
vaginitis,"Vaginitis is an inflammation or infection of the vagina. It is a common condition that can cause discomfort and itching. There are several types of vaginitis, including bacterial vaginosis, yeast infections, and trichomoniasis. Symptoms can include dis"
post-traumatic stress disorder (ptsd),"Post-traumatic stress disorder (PTSD) is a mental health condition that's triggered by a terrifying event — either experiencing it or witnessing it. Symptoms may include flashbacks, nightmares and severe anxiety, as well as uncontrollable thoughts about the event."
fluid overload,"Fluid overload is a condition that occurs when the body retains too much fluid. It is a common problem among people with heart failure, the condition in which the heart isn't pumping enough blood to meet the body's needs. Fluid overload can cause shortness of breath, swelling in"
dislocation of the hip,"Dislocation of the hip is a condition that occurs when the ball at the top of the thigh bone (femoral head) moves out of the hip socket. It can happen after a fall or other injury, or as a result of certain medical conditions. Symptoms may include pain, swelling, and inability"
central retinal artery or vein occlusion,"Central retinal artery or vein occlusion is a medical condition that occurs when the central retinal artery or vein is blocked, which can cause a sudden and painless loss of vision in the affected eye. The blockage is typically caused by a blood clot, high blood pressure, or other"
hepatitis due to a toxin,"Hepatitis is the inflammation of the liver, a large organ in the upper right portion of the abdomen. Hepatitis is often caused by viruses such as the hepatitis A virus, hepatitis B virus, or hepatitis C virus. However, hepatitis"
